Open_Date,Open_Time,Close_Date,Close_Time,Day,Hour,Type,Entry,SL,TP,Result,RR,PnL_pts
2024-05-24,15:30:00,2024-05-24,15:30:00,Friday,15:30:00,SHORT,2338.8,2344.5,2333.1,SL,-1,-5.7
2024-05-24,22:30:00,2024-05-27,03:30:00,Monday,03:30:00,SHORT,2334.0,2338.2,2329.8,SL,-1,-4.2
2024-05-27,03:30:00,2024-05-27,03:30:00,Monday,03:30:00,SHORT,2334.7,2336.4,2333.0,SL,-1,-1.7
2024-05-28,10:30:00,2024-05-28,10:30:00,Tuesday,10:30:00,LONG,2352.9,2351.5,2354.3,TP,1,1.4
2024-05-28,18:30:00,2024-05-29,13:30:00,Wednesday,13:30:00,LONG,2358.7,2347.1,2370.3,SL,-1,-11.6
2024-05-29,14:30:00,2024-05-29,17:30:00,Wednesday,17:30:00,SHORT,2345.2,2352.3,2338.1,TP,1,7.1
2024-05-29,17:30:00,2024-05-29,18:30:00,Wednesday,18:30:00,SHORT,2338.6,2347.5,2329.7,SL,-1,-8.9
2024-05-29,21:30:00,2024-05-29,22:30:00,Wednesday,22:30:00,SHORT,2336.6,2343.8,2329.4,SL,-1,-7.2
2024-05-30,00:30:00,2024-05-30,07:30:00,Thursday,07:30:00,SHORT,2337.6,2343.9,2331.3,TP,1,6.3
2024-05-30,13:30:00,2024-05-30,13:30:00,Thursday,13:30:00,LONG,2356.9,2331.4,2382.4,SL,-1,-25.5
2024-05-31,07:30:00,2024-05-31,07:30:00,Friday,07:30:00,LONG,2368.8,2344.8,2392.8,SL,-1,-24.0
2024-05-31,18:30:00,2024-05-31,19:30:00,Friday,19:30:00,LONG,2378.3,2341.9,2414.7,SL,-1,-36.4
2024-06-03,05:30:00,2024-06-03,05:30:00,Monday,05:30:00,SHORT,2344.2,2346.9,2341.5,SL,-1,-2.7
2024-06-03,09:30:00,2024-06-03,12:30:00,Monday,12:30:00,SHORT,2340.5,2348.3,2332.7,SL,-1,-7.8
2024-05-31,23:30:00,2024-06-03,17:30:00,Monday,17:30:00,SHORT,2322.3,2354.9,2289.7,SL,-1,-32.6
2024-06-03,21:30:00,2024-06-03,22:30:00,Monday,22:30:00,LONG,2364.5,2355.7,2373.3,TP,1,8.8
2024-06-04,14:30:00,2024-06-04,18:30:00,Tuesday,18:30:00,SHORT,2352.3,2359.8,2344.8,TP,1,7.5
2024-06-04,19:30:00,2024-06-05,10:30:00,Wednesday,10:30:00,SHORT,2341.8,2358.4,2325.2,SL,-1,-16.6
2024-06-05,18:30:00,2024-06-05,20:30:00,Wednesday,20:30:00,LONG,2364.0,2351.9,2376.1,TP,1,12.1
2024-06-06,20:30:00,2024-06-06,20:30:00,Thursday,20:30:00,LONG,2385.6,2377.0,2394.2,TP,1,8.6
2024-06-07,08:30:00,2024-06-07,10:30:00,Friday,10:30:00,LONG,2397.4,2388.3,2406.5,TP,1,9.1
2024-06-07,14:30:00,2024-06-07,18:30:00,Friday,18:30:00,SHORT,2360.7,2392.7,2328.7,TP,1,32.0
2024-06-12,18:30:00,2024-06-13,06:30:00,Thursday,06:30:00,LONG,2354.7,2328.2,2381.2,SL,-1,-26.5
2024-06-13,21:30:00,2024-06-14,13:30:00,Friday,13:30:00,SHORT,2313.2,2332.9,2293.5,SL,-1,-19.7
2024-06-14,15:30:00,2024-06-14,15:30:00,Friday,15:30:00,LONG,2338.2,2330.6,2345.8,TP,1,7.6
2024-06-18,15:30:00,2024-06-18,15:30:00,Tuesday,15:30:00,SHORT,2325.3,2328.9,2321.7,TP,1,3.6
2024-06-18,22:30:00,2024-06-19,06:30:00,Wednesday,06:30:00,LONG,2345.7,2341.2,2350.2,SL,-1,-4.5
2024-06-19,08:30:00,2024-06-19,08:30:00,Wednesday,08:30:00,LONG,2345.8,2343.4,2348.2,SL,-1,-2.4
2024-06-20,10:30:00,2024-06-20,13:30:00,Thursday,13:30:00,LONG,2354.9,2347.4,2362.4,SL,-1,-7.5
2024-06-20,16:30:00,2024-06-20,18:30:00,Thursday,18:30:00,LONG,2354.0,2346.8,2361.2,TP,1,7.2
2024-06-20,19:30:00,2024-06-20,19:30:00,Thursday,19:30:00,LONG,2363.3,2350.0,2376.6,TP,1,13.3
2024-06-21,13:30:00,2024-06-21,18:30:00,Friday,18:30:00,LONG,2378.1,2368.6,2387.6,SL,-1,-9.5
2024-06-25,09:30:00,2024-06-25,10:30:00,Tuesday,10:30:00,SHORT,2336.5,2341.2,2331.8,SL,-1,-4.7
2024-06-26,01:30:00,2024-06-26,03:30:00,Wednesday,03:30:00,SHORT,2331.0,2332.7,2329.3,SL,-1,-1.7
2024-06-26,05:30:00,2024-06-26,05:30:00,Wednesday,05:30:00,SHORT,2330.4,2333.2,2327.6,SL,-1,-2.8
2024-06-26,11:30:00,2024-06-26,13:30:00,Wednesday,13:30:00,SHORT,2323.4,2329.8,2317.0,SL,-1,-6.4
2024-06-21,19:30:00,2024-06-26,16:30:00,Wednesday,16:30:00,SHORT,2347.7,2377.4,2318.0,TP,1,29.7
2024-06-26,16:30:00,2024-06-26,17:30:00,Wednesday,17:30:00,SHORT,2318.5,2328.1,2308.9,SL,-1,-9.6
2024-06-26,18:30:00,2024-06-26,18:30:00,Wednesday,18:30:00,SHORT,2321.8,2329.8,2313.8,TP,1,8.0
2024-06-27,16:30:00,2024-06-27,17:30:00,Thursday,17:30:00,LONG,2325.8,2322.6,2329.0,TP,1,3.2
2024-06-28,11:30:00,2024-06-28,15:30:00,Friday,15:30:00,LONG,2337.8,2331.6,2344.0,TP,1,6.2
2024-07-01,16:30:00,2024-07-01,16:30:00,Monday,16:30:00,LONG,2342.7,2337.2,2348.2,TP,1,5.5
